Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,AUT,31712.80247,31991.95801,32360.72031,32506.65062,33189.19584,33703.58815,34695.62531,35872.40749,36282.53982,34825.30881,35379.92903,36291.47474,36372.20491,36167.68416,36123.42617,36129.02752,36469.38741,37140.79212
Azerbaijan,AZE,586.2013269,639.2632286,701.7691249,774.4771499,846.0348883,1058.511806,1408.143414,1741.016303,1888.491065,2023.755072,2096.897375,2071.116458,2088.741369,2181.420208,2197.447971,2195.312737,2103.610748,2085.15283
Burundi,BDI,169492.5202,168884.0058,171533.5701,164279.531,166721.1929,162763.9716,165941.3566,165956.28,168246.0525,168966.3991,171994.0732,173457.6892,175801.6076,179069.343,181160.336,168846.5885,162652.974,158348.6008
Belgium,BEL,30330.47203,30471.62907,30875.46257,30984.62738,31972.14808,32462.67724,33057.48346,33947.42346,33944.07822,32913.36979,33509.02833,33670.70447,33541.10009,33450.36711,33720.0353,34100.73185,34433.60308,34859.71756
Benin,BEN,312309.2489,319158.5722,323971.536,325095.6878,329444.9913,325335.3545,328518.2142,338388.0217,345053.3499,343309.2155,340853.5405,341250.1393,347820.3668,362568.6207,375017.7899,372406.191,376618.4472,387783.5759
Burkina Faso,BFA,162812.0624,168687.3287,171039.7847,179117.4935,181740.0269,191723.8493,197713.6362,202696.6544,211002.1068,210775.4952,215495.6897,222965.4523,230344.2306,236528.8771,239561.214,241680.9115,248665.7229,256804.1339
Bangladesh,BGD,26821.05686,27652.01351,28187.84186,29010.2358,30035.79662,31525.15018,33180.40784,35094.87829,36788.71042,38221.22336,39901.47112,41994.30537,44211.53465,46321.66743,48564.01013,51169.84283,54220.95376,57563.5473
Bulgaria,BGR,5843.524469,6185.756227,6696.838307,7098.145197,7612.176455,8216.063461,8847.810202,9567.72248,10215.33225,9912.655655,10110.24259,10370.12774,10433.59822,10543.97625,10798.92989,11245.30527,11770.27148,12308.44437
Bahrain,BHR,8631.124081,8428.455492,8286.421102,8294.103589,8326.330605,8296.851326,8195.310169,8211.12453,8107.941037,7819.68205,7791.519121,7713.55638,7866.379227,8196.677692,8418.90546,8436.022758,8402.282954,8327.940002
"Bahamas, The",BHS,32339.72272,32614.61065,32844.21831,31752.10454,31359.05322,31761.73656,31923.05631,31770.11521,30466.82307,28686.31219,28645.32525,28369.90681,28815.5274,28301.61171,27895.25053,27846.54041,27068.59357,27170.8641
Bosnia and Herzegovina,BIH,4434.265536,4623.753554,4862.980205,5052.895908,5358.228561,5827.195077,6146.221373,6515.545045,6888.109227,6711.660373,6814.718045,6942.024444,6961.723864,7210.669129,7373.325365,7664.759594,7948.782649,8224.964407
Belarus,BLR,3592.144507,3781.231119,3997.3694,4308.961068,4835.198029,5325.959378,5894.536787,6430.907803,7111.381782,7141.509231,7711.549438,8141.266727,8286.210728,8368.032443,8504.847374,8166.129167,7949.832101,8145.172634
Belize,BLZ,6728.847421,6853.808474,7006.274456,7462.749601,7612.778126,7610.886164,7755.085349,7639.553362,7686.392305,7546.579959,7615.63083,7601.082043,7649.890556,7547.393087,7658.88784,7754.301285,7547.662377,7498.25238
Bermuda,BMU,73000.67925,77432.8203,75793.77543,77867.69838,79156.46376,79962.34062,83912.6978,85815.31254,86612.58101,81582.11957,80501.65837,78488.22873,74423.94827,72328.45649,,,,
Bolivia,BOL,2680.764174,2675.576349,2692.338743,2716.035898,2779.748211,2852.501187,2938.482338,3021.150896,3153.987847,3206.789744,3285.429011,3401.49854,3519.625542,3700.537794,3842.789718,3968.370132,4075.568233,4183.638568
Brazil,BRA,15442.57459,15440.24912,15699.70194,15675.964,16376.40713,16703.7879,17173.10646,18023.42383,18749.9381,18542.15895,19745.53186,20334.96577,20531.94974,20955.8447,20875.34627,19964.17354,19147.08716,19199.57539
Barbados,BRB,3694.315668,3595.322977,3613.552479,3681.067223,3721.470133,3856.442672,4059.787885,4114.792685,4102.495682,3923.223327,3918.174046,3929.422917,3926.700641,3914.211583,3902.817721,3926.577228,3994.442027,4024.177601
Brunei Darussalam,BRN,48981.55839,49308.22041,50220.795,50725.41505,50111.41652,49529.30211,50996.33599,50446.5102,48895.6401,47467.13648,48088.05595,49211.57424,48948.33745,47202.96956,45423.41099,44534.44204,42856.1175,42868.33599
Bhutan,BTN,34417.90184,36219.2232,38993.7462,40835.21175,42105.15132,43980.5639,45903.18478,52970.99779,54389.04344,56913.07257,62437.38327,66193.5693,68400.07597,68770.10723,71645.40317,75344.53241,80329.87158,83023.84814
Botswana,BWA,26415.63581,26080.5101,27274.65276,28150.67507,28517.40184,29390.72604,31369.12513,33430.09187,34935.14561,31715.41865,33833.57975,35241.99296,36143.32152,39502.21733,40381.14871,38965.55884,39905.37916,40109.23583
Central African Republic,CAF,171523.6755,175571.3359,178410.2413,165641.5093,172394.7704,170889.3847,175895.8988,180814.1167,181573.2826,182209.376,185891.0538,190841.5552,198059.378,125114.3144,125974.8877,131129.7596,135624.0938,139498.7852
Canada,CAN,44954.53522,45291.05998,46237.64957,46604.37,47563.56364,48604.68962,49483.90615,50017.18088,49973.7815,47947.6825,48878.62395,49918.56148,50193.90465,50848.24002,51736.6725,51821.14056,51927.76703,52863.719
